Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
8/21/2018,Check 10208,Check 10208 Cashed,4000,debit,Check,Summit,,
8/21/2018,Check 10205,Check 10205 Cashed,82,debit,Check,Summit,,
8/21/2018,CenturyLink,CENTURYLINK/SPEEDPAY 800-244-1111 LA66619837,71.55,debit,Internet,Discover More Card,,
8/21/2018,McDonald's,AplPay MCDONALD'S F3SANTA FE NM000018320 5059841490 320182330028470967,6.92,debit,Restaurants,Blue Cash,,
8/21/2018,Donation Prx Radioto,DONATION PRX RADIOTOAPPLETON WIOPSNT_DSJFM 8882048792 320182330032374206,4,debit,Charity,Blue Cash,,
8/21/2018,Audible.com,Audible audible.com NJ6PTHYDVUH91 AUDIO BOOKS 320182330018877778,15.72,debit,Books,Blue Cash,,
8/20/2018,Sfcc Bookstore,SFCC BOOKSTORE SANTA FE NM,257,debit,Books,Discover More Card,,
8/20/2018,Received Thank You,PAYMENT RECEIVED - THANK YOU 320182320017435065,4000,credit,Credit Card Payment,Blue Cash,,
8/20/2018,Skarsgard Farms,SKARSGARD FARMS 0267ALBUQUERQUE60880118 505-681-5286 320182320013726082,92.9,debit,Groceries,Blue Cash,,
8/19/2018,Therapy Solutions,Therapy Solutions LLSANTA FE NM73011008229 MEDICAL SERVICE 320182310999484892,30,debit,Doctor,Blue Cash,,
8/19/2018,Hulu,HLU*HULU 15247219-U HULU.COM/BI3:281509536 HULU.COM/BILL 320182310995778607,11.99,debit,Entertainment,Blue Cash,,
8/19/2018,Chevron,CHEVRON 0076047/CHEVSANTA FE NM00076047 47 SERVICE STN 320182310997055062,29.17,debit,Gas & Fuel,Blue Cash,,
8/19/2018,iTunes,WWW.ITUNES.COM/BILL CUPERTINO CAMS61FBQ3JVA DIRECT MKTG INTERNET 320182310989091699,16.25,debit,Entertainment,Blue Cash,,
8/19/2018,"Home Depot, shelves",THE HOME DEPOT SANTA FE NM08180350320 800-654-0688 320182310986816936,10.8,debit,Home Improvement,Blue Cash,,
8/18/2018,Aplpay Kaune Neigh,AplPay KAUNE'S NEIGHSANTA FE NM000011917 5059822629 320182300982957831,17.12,debit,Groceries,Blue Cash,,
8/18/2018,Ace Hdwe Santa,ACE HDWE OF SANTA FESANTA FE NM037819 505-424-9343 320182300981292061,14.09,credit,Credit Card Payment,Blue Cash,,
8/18/2018,30 Second Street,SECOND STREET RAILYASANTA FE NM21104478230 SECONDSTREET@PROCESSL 320182300982476216,229.02,debit,Restaurants,Blue Cash,Reimbursable,
8/18/2018,Hotels.com,HOTELS.COM1511113640HOTELS.COMQJCX3HFWT 151111364088 V6C1M2 320182300985422584,648.54,debit,Travel,Blue Cash,Reimbursable,
8/17/2018,ATM Fee,Atm Withdrawal 1549 Paseo De Peral 1549 Paseo De Peral Santa Fe Nm Us,4,debit,ATM Fee,Summit,,
8/17/2018,ATM Withdrawal,Atm Withdrawal 1549 Paseo De Peral 1549 Paseo De Peral Santa Fe Nm Us,200,debit,Cash & ATM,Summit,,
8/17/2018,American,AMERICAN  00121058742921,91.2,debit,Travel,MasterCard,,
8/17/2018,United,UNITED    01624128540871,188.3,debit,Travel,MasterCard,Reimbursable,
8/17/2018,Delta,DELTA AIR LINES ATLANTA18002211212 320182290965372029,496.88,debit,Travel,Blue Cash,Reimbursable,
8/17/2018,GoGoAir,HTTP://WWW.GOGOAIR.C877-350-003320128526DP INTERNET ACC 320182290968492804,16,debit,Travel,Blue Cash,Reimbursable,
8/17/2018,United Airlines,UNITED AIRLINES HOUSTON TX22891353 WWW.UNITED.COM 320182290959778647,154.15,debit,Travel,Blue Cash,Reimbursable,
8/17/2018,Sfcc Bookstore,SFCC BOOKSTORE SANTA FE NM,316.5,debit,Books,Discover More Card,,
8/17/2018,Lyft,LYFT *RIDE THU 1PM 855-280-0278 CA,9.27,debit,Lyft,Discover More Card,,
8/17/2018,Sfcc Bookstore,SFCC BOOKSTORE SANTA FE NM,59,debit,Books,Discover More Card,,
8/16/2018,Santa Fe Family Dentistry Ltd.,SANTA FE FAMILY DENTSANTA FE NM0019880090 5205689188 320182280947275493,236.12,debit,Doctor,Blue Cash,,
8/16/2018,Rio Chama Steak,#109 RIO CHAMA STEAKSANTA FE NM7623 505-955-0765 320182280949706715,132.62,debit,Restaurants,Blue Cash,,
8/16/2018,Therapy Solutions,Therapy Solutions LLSANTA FE NM73011008227 MEDICAL SERVICE 320182280939047229,30,debit,Doctor,Blue Cash,,
8/16/2018,Amazon,AMAZON.COM AMZN.COM/BILL WA3A2LHD75ZR5 MERCHANDISE 320182280950247941,14.2,debit,Shopping,Blue Cash,,
8/16/2018,Ohoris Coffee Tea,OHORIS COFFEE TEA & SANTA FE NM85482988228 USFC87505 320182280939045522,20.98,debit,Coffee Shops,Blue Cash,,
8/16/2018,Amazon,AMAZON.COM AMZN.COM/BILL WA38OJLW5VWBP MERCHANDISE 320182280951042397,24.44,debit,Shopping,Blue Cash,,
8/16/2018,Subway,AplPay SUBWAY SANTA FE NM018851378 505-9551682 320182280943440768,8.12,debit,Restaurants,Blue Cash,,
8/16/2018,Lyft,LYFT *RIDE THU 11AM 855-280-0278 CA,9.36,debit,Lyft,Discover More Card,,
8/15/2018,Christus St Vincent Hospital,CHRISTUS ST VINCENT MEDI 7635593779 MN,841.8,debit,Doctor,Discover More Card,,
8/15/2018,CBS All Access,CBS ALL ACCESS 888-274-5343 CA,5.99,debit,Entertainment,Discover More Card,,
8/15/2018,Amazon,AMAZON.COM AMZN.COM/BILL WA68QBPARIBHB MERCHANDISE 320182270922169911,14.77,debit,Shopping,Blue Cash,,
8/15/2018,Whole Foods,AplPay WHOLE FOODS MSANTA FE NM00481000251 5059921700 320182270929302354,39.52,debit,Groceries,Blue Cash,,
8/15/2018,Amazon Kindle,AMAZON KINDLE UNLIMI866-321-8851WHBS1FKO1M DIGITAL 320182270933269102,10.5,debit,Books,Blue Cash,,
8/15/2018,Ace Hdwe Santa,ACE HDWE OF SANTA FESANTA FE NM036608 505-424-9343 320182270929008410,68.3,debit,Home Improvement,Blue Cash,,
8/15/2018,Jetpens.com Ca,JETPENS.COM 415-376-6755 CA,34.25,debit,Office Supplies,Discover More Card,,
8/15/2018,Cash Back Reward,CREDIT-CASH BACK REWARD,315.24,credit,Credit Card Payment,MasterCard,,
8/15/2018,Numerix Llc Payroll,Numerix Llc Payroll Sq. Nbr.: 0018108822,6166.97,credit,Paycheck,Summit,,
8/14/2018,St. Vincent Hospital,ST VINCENT HOSPITAL 505-9133071 NM,658.2,debit,Doctor,Discover More Card,,
8/14/2018,Amazon,AMAZON.COM AMZN.COM/BILLWARNM6RY3RFRX,28.95,debit,Shopping,Discover More Card,,
8/13/2018,Lumens,PAYPAL *LUMENS COM 8774454486 CA10002254780 8774454486 320182250901432912,472,debit,Furnishings,Blue Cash,,
8/13/2018,Skarsgard Farms,SKARSGARD FARMS 0267ALBUQUERQUE60820113 505-681-5286 320182250897512705,53.95,debit,Groceries,Blue Cash,,
8/13/2018,New York Times,NEW YORK TIMES DIGITAL 800-698-4637 NY43479F9F60D0,25,debit,Subscriptions,Discover More Card,,
8/13/2018,Check 10207,Check 10207 Cashed,2000,debit,Check,Summit,,
8/13/2018,Check 10210,Check 10210 Cashed,41,debit,Check,Summit,,
8/12/2018,Trader Joe's,TRADER JOE'S #165 QSANTA FE NM0072082 626-599-3700 320182240882925064,58.28,debit,Groceries,Blue Cash,,
8/12/2018,Whole Foods,WHOLE FOODS MARKET SANTA FE NM00540800237 5059921700 320182240883602788,9.49,debit,Groceries,Blue Cash,,
8/12/2018,Whole Foods,WHOLE FOODS MARKET SANTA FE NM00250900201 5059921700 320182240882228916,45.89,debit,Groceries,Blue Cash,,
8/11/2018,St Giles Hotel,ST GILES HOTEL THE TNEW YORK NY1908856 2126861600 320182230864701852,892.37,debit,Travel,Blue Cash,Reimbursable,
8/11/2018,Starbucks,STARBUCKS E34 DFW DALLAS TX1715 FAST FOOD RESTAURANT 320182230872035852,5.68,debit,Coffee Shops,Blue Cash,Reimbursable,
8/11/2018,Blue Mesa Taco,BLUE MESA TACO & T 5DALLAS TX24224438223 2142085288 320182230872523555,39.99,debit,Restaurants,Blue Cash,Reimbursable,
8/11/2018,Starbucks,AplPay STARBUCKS STONEW YORK NY00LK6V9S0UV FAST FOOD RESTAURANT 320182230865411170,2.89,debit,Coffee Shops,Blue Cash,Reimbursable,
8/11/2018,GoGoAir,HTTP://WWW.GOGOAIR.C877-350-003319736180SP INTERNET ACC 320182230871719845,12,debit,Travel,Blue Cash,Reimbursable,
8/11/2018,Albertsons,ALBERTSONS MARKET 92SANTA FE NM0055496 505-982-4668 320182230862596184,172.36,debit,Groceries,Blue Cash,,
8/11/2018,Arthur Cab Leas,ARTHUR CAB LEAS 0901LONG ISLAND008507241 000-0000000 320182230872452919,43.27,debit,Travel,Blue Cash,Reimbursable,
8/11/2018,Pret A Manger,AplPay PRET A MANGERNEW YORK NY198946 198946 10016 320182230863454016,15.22,debit,Restaurants,Blue Cash,Reimbursable,
8/10/2018,Little America,LITTLE AMERICA HOTELFLAGSTAFF AZ17208010 LODGING 320182220843954362,177.52,debit,Travel,Blue Cash,,
8/10/2018,American Airlines,AMERICAN AIRLINES 45800-433-73020180810 AA.COM 320182220845055102,42.38,debit,Travel,Blue Cash,Reimbursable,
8/10/2018,Exxon,EXXONMOBIL 9730 NEEDLES CA00056835 760-326-3855 320182220853130112,57.75,debit,Gas & Fuel,Blue Cash,,
8/10/2018,Range Cafe,RANGE CAFE 0012 ALBUQUERQUE NM48810132 505-888-1660 320182220847853015,71.03,debit,Restaurants,Blue Cash,,
8/10/2018,Starbucks,AplPay STARBUCKS STONEW YORK NY00LK707LJJR FAST FOOD RESTAURANT 320182220846379227,2.89,debit,Coffee Shops,Blue Cash,Reimbursable,
8/10/2018,Exxon,EXXONMOBIL 9612 FLAGSTAFF AZ00019456 928-214-6305 320182220848365461,28.2,debit,Gas & Fuel,Blue Cash,,
8/10/2018,Check 10211,Check 10211 Cashed,125.1,debit,Check,Summit,,
8/10/2018,Interest Deposit August,Interest Deposit August 2018,9.97,credit,Interest Income,Summit,,
8/10/2018,ATM Fee Refund,Atm Fee Rebate,3,credit,ATM Fee,Summit,,
8/09/2018,Pret A Manger,AplPay PRET A MANGERNEW YORK NY196361 196361 10016 320182210829224428,14.68,debit,Restaurants,Blue Cash,Reimbursable,
8/09/2018,Hat Rancho Cuca,THE HAT #10 65000000RANCHO CUCA10156320180 9096467600 320182210825637636,40.88,debit,Restaurants,Blue Cash,,
8/09/2018,iTunes,WWW.ITUNES.COM/BILL CUPERTINO CAMSL41NKVH8A DIRECT MKTG INTERNET 320182210827867308,37.93,debit,Entertainment,Blue Cash,,
8/09/2018,Starbucks,AplPay STARBUCKS STONEW YORK NY00LK707LGFQ FAST FOOD RESTAURANT 320182210830438450,2.89,debit,Coffee Shops,Blue Cash,Reimbursable,
8/09/2018,Shell,SHELL 10047020002 ALBUQUERQUE NM,30.76,debit,Gas & Fuel,Discover More Card,,
8/08/2018,Check 10212,Check 10212 Cashed,82,debit,Check,Summit,,
8/08/2018,Gap,AplPay GAP US 7233 NEW YORK NY563384 0000000000000000010017 320182200819716591,39.95,debit,Clothing,Blue Cash,,
8/08/2018,Pret A Manger,PRET A MANGER 080 08NEW YORK NY194953 194953 10016 320182200812668999,15.22,debit,Restaurants,Blue Cash,Reimbursable,
8/08/2018,Burger King,BURGER KING #4413 06LONG BEACH0000000024 310-874-5926 320182200820549972,2.37,debit,Restaurants,Blue Cash,,
8/08/2018,Rooter Man Plumbing,ROOTER MAN PLUMBING SUN VALLEY99000003 800-993-9151 320182200819015378,250,debit,Home Improvement,Blue Cash,,
8/08/2018,Starbucks,STARBUCKS STORE 0761NEW YORK NY00LK715F30M FAST FOOD RESTAURANT 320182200815190192,2.89,debit,Restaurants,Blue Cash,Reimbursable,
8/08/2018,Baskin Robbins,BASKIN #361272 Q35 3LONG BEACH0050777 562-597-3914 320182200820759666,20.47,debit,Restaurants,Blue Cash,,
8/07/2018,Check 10201,Check 10201 Cashed,1800,debit,Check,Summit,,
8/07/2018,Check 10204,Check 10204 Cashed,2000,debit,Check,Summit,,
8/07/2018,Check 10209,Check 10209 Cashed,6,debit,Check,Summit,,
8/07/2018,Del Taco calif,DEL TACO 0086 LONG BEACH CA,1.74,debit,Restaurants,Discover More Card,,
8/07/2018,Yoshinoya Willow Atla,YOSHINOYA WILLOW & ATLA LONG BEACH CA,7.71,debit,Restaurants,Discover More Card,,
8/07/2018,GoGoAir,HTTP://WWW.GOGOAIR.C877-350-003319420048SP INTERNET ACC 320182190805600026,12,debit,Travel,Blue Cash,Reimbursable,
8/07/2018,Lyft,AplPay LYFT *INCRESAN FRANCISCOOPSNT_DNLTY(NONE) 94104 320182190794317465,5,debit,Lyft,Blue Cash,Reimbursable,
8/07/2018,Ralphs,RALPHS LONG BEACH CA999999982188884373496 320182190805530419,100,debit,Groceries,Blue Cash,,
8/07/2018,Rare Bar & Grill,"RARE BAR & GRILL RARNEW YORK CI30029 NEW YORK CITY,NY 320182190804316242",186.51,debit,Restaurants,Blue Cash,Reimbursable,
8/07/2018,Lyft,AplPay LYFT *RIDE SAN FRANCISCOOPSNT_DNEMK(NONE) 94104 320182190797713020,25.05,debit,Lyft,Blue Cash,Reimbursable,
8/07/2018,Friday's,FRIDAYS_AM_BAR #0857DFW AIRPORT00200100086 8003743297 320182190797778838,24.44,debit,Restaurants,Blue Cash,Reimbursable,
8/06/2018,Lb Parking Operations,LB PARKING OPERATIONS,2,debit,Parking,MasterCard,,
8/06/2018,Check 10202,Check 10202 Cashed,100,debit,Check,Summit,,
8/06/2018,Check 10206,Check 10206 Cashed,180.32,debit,Check,Summit,,
8/06/2018,Lbikeshare Ca,LONGBEACHCALBIKESHARE 562-570-6555 CA,7.08,debit,Gym,Discover More Card,,
8/06/2018,Christus St Vincent Hospital,CHRISTUS ST VINCENT MINNEAPOLIS10156320180 7635593779 320182180788354984,496.8,debit,Doctor,Blue Cash,,
8/06/2018,Christus St Vincent Hospital,CHRISTUS ST VINCENT SANTA FE NM8179660200 800-877-8623 320182180787474952,125,debit,Doctor,Blue Cash,,
8/06/2018,Vons,THE MARKET (VONS) 22LONG BEACHGROCERY STORE 320182180783691958,8.67,debit,Groceries,Blue Cash,,
8/06/2018,Tally Leasing C,TALLY LEASING C 0900LONG ISLAND031557381 000-0000000 320182180778582109,37.87,debit,Travel,Blue Cash,Reimbursable,
8/06/2018,Exxon,EXXONMOBIL 9761 LONG BEACH CA00653966 562-596-3176 320182180785376297,49.71,debit,Gas & Fuel,Blue Cash,,
8/06/2018,American Airlines,AMERICAN AIRLINES 45800-433-73020180806 AA.COM 320182180782502185,10.48,debit,Travel,Blue Cash,Reimbursable,
8/05/2018,Lbikeshare Ca,LONGBEACHCALBIKESHARE 562-570-6555 CA,10.17,debit,Gym,Discover More Card,,
8/05/2018,Online Payment,PAYMENT - THANK YOU,1800,credit,Credit Card Payment,Discover More Card,,
8/05/2018,Ace Hdwe Santa,ACE HDWE OF SANTA FESANTA FE NM031382 505-424-9343 320182170771621349,10.83,debit,Home Improvement,Blue Cash,,
8/05/2018,Big 5 Sporting,BIG 5 SPORTING GOODSLONG BEACH016788 800-898-2994 320182170772188324,270.06,debit,Sporting Goods,Blue Cash,,
8/05/2018,Wendy's,WENDY'S 844 00000084LONG BEACH08440217629 7144230914 320182170767865611,24.41,debit,Restaurants,Blue Cash,,
8/05/2018,Vons,THE MARKET (VONS) 22LONG BEACHGROCERY STORE 320182170768487753,4.78,debit,Groceries,Blue Cash,,
8/05/2018,Petco,AplPay PETCO 1103 SANTA FE NM000016523 000-0000000 320182170769081984,21.67,debit,Pets,Blue Cash,,
8/04/2018,Subway,AplPay SUBWAY SANTA FE NM017946310 505-9551682 320182160751569750,8.12,debit,Restaurants,Blue Cash,,
8/03/2018,Liberty Mutual,Liberty Mutual Payment Sq. Nbr.: 0017903228,280.67,debit,Auto Insurance,Summit,,
8/03/2018,Ohori Coffee Roast,OHORI'S COFFEE ROASTSANTA FE NM85482988215 USFC87505 320182150745003662,27.65,debit,Coffee Shops,Blue Cash,,
8/03/2018,Railyard Fitness,RAILYARD FITNESS 436SANTA FE NM73011008214 5059837909 320182150729702788,139.72,debit,Gym,Blue Cash,,
8/03/2018,Vons,THE MARKET (VONS) 22LONG BEACHGROCERY STORE 320182150736998411,56.96,debit,Groceries,Blue Cash,,
8/03/2018,Torguard Fl,TORGUARD 8002760433 FL10001962583 8002760433 320182150740819569,29.99,debit,Internet,Blue Cash,,
8/02/2018,Steam Games,STEAMGAMES.COM,19.99,debit,Entertainment,MasterCard,,
8/02/2018,Liberty Mutual,LIBERTY PUZZLES,129.11,debit,Auto Insurance,MasterCard,,
8/02/2018,Steve Flores,Steve Flores Karate Ac,50,debit,Gym,MasterCard,,
8/02/2018,Steve Flores,Steve Flores Karate Ac,81.23,debit,Gym,MasterCard,,
8/02/2018,Check 10200,Check 10200 Cashed,143,debit,Check,Summit,,
8/02/2018,Second Street Railya,SECOND STREET RAILYASANTA FE NM21104478214 SECONDSTREET@PROCESSL 320182140722691611,28.16,debit,Restaurants,Blue Cash,,
8/02/2018,Violet Crown Cinema,VIOLET CROWN CINEMA AUSTIN TX99999998214 5124959600 320182140716554027,12,debit,Entertainment,Blue Cash,,
8/02/2018,Vons,THE MARKET (VONS) 22LONG BEACHGROCERY STORE 320182140717411243,46.72,debit,Groceries,Blue Cash,,
8/02/2018,Violet Crown Cinema,VIOLET CROWN CINEMA AUSTIN TX99999998214 5124959600 320182140717565365,13.5,debit,Entertainment,Blue Cash,,
8/02/2018,Patreon Membership San,PATREON* MEMBERSHIP SAN FRANCISOPSNT_DLAKG 8778877815 320182140725213720,20,debit,Charity,Blue Cash,,
8/02/2018,Amazon Kindle,AMAZON SERVICES-KINDLE 866-321-8851 WA2DCVQHI748L,10.5,debit,Books,Discover More Card,,
8/01/2018,Santa Fe Community College,SANTA FE CC SANTA FE NM,501,debit,Education,Discover More Card,Reimbursable,
8/01/2018,Tickets La Dodgers,TICKETS* LA DODGERS 800-352-0212 CA39935632,339.1,debit,Entertainment,Discover More Card,,
8/01/2018,Amazon,AMZ*COMICS BY COMIXOAMAZON PAYRNY3CPX6MZQ SERVICE 320182130705183528,3.99,debit,Shopping,Blue Cash,,
8/01/2018,Rover Rover Qgb,ROVER ROVER SEATTLE WAQGB77MRH 8884537889 320182130705139726,480,debit,Pets,Blue Cash,,
8/01/2018,Dodger Stadium,2DODGER STADM 545305LOS ANGELES064074422 323-2244286 320182130694819759,21.5,debit,Entertainment,Blue Cash,,
8/01/2018,Dodger Stadium,2DODGER STADM 545305LOS ANGELES064078210 323-2244286 320182130694809227,54,debit,Entertainment,Blue Cash,,
8/01/2018,Dodger Stadium,2DODGER STADM 545305LOS ANGELES064089818 323-2244286 320182130696099609,12,debit,Entertainment,Blue Cash,,
8/01/2018,Verizon Wireless,VZW APOCC 800-922-0204 FLW0000001437VZWIRELESS 320182130701727367,330.94,debit,Mobile Phone,Blue Cash,,
7/31/2018,Numerix Llc Payroll,Numerix Llc Payroll Sq. Nbr.: 0017776505,6198.49,credit,Paycheck,Summit,,
7/31/2018,Peet's Coffee,PEET'S COFFEE & TEA LONG BEACH520682 FAST FOOD RESTAURANT 320182120684151406,8.8,debit,Coffee Shops,Blue Cash,,
7/31/2018,Ralphs,RALPHS LONG BEACH CA999999982118884373496 320182120688668176,137.5,debit,Groceries,Blue Cash,,
7/31/2018,Whole Foods,AplPay WHOLE FOODS MSANTA FE NM00251200057 5059921700 320182120685195744,19.98,debit,Groceries,Blue Cash,,
7/30/2018,ATM Fee,Atm Withdrawal Bank Of America *belmont Shore Long Beach Ca Us,3,debit,ATM Fee,Summit,,
7/30/2018,ATM Withdrawal,Atm Withdrawal Bank Of America *belmont Shore Long Beach Ca Us,200,debit,Cash & ATM,Summit,,
7/30/2018,Check 10203,Check 10203 Cashed,275.61,debit,Check,Summit,,
7/30/2018,Vons,THE MARKET (VONS) 22LONG BEACHGROCERY STORE 320182110669643091,11.22,debit,Groceries,Blue Cash,,
7/29/2018,Santa Fe Community College,SANTA FE CC SANTA FE NM,175.5,debit,Education,Discover More Card,,
7/29/2018,Santa Fe Community College,SANTA FE CC SANTA FE NM,1041,debit,Education,Discover More Card,,
7/29/2018,Netflix,NETFLIX.COM 866-579-7172 CA23170370506 SUBSCRIPTION 320182100653504171,11.92,debit,Entertainment,Blue Cash,,
7/29/2018,Aplpay Kaune Neigh,AplPay KAUNE'S NEIGHSANTA FE NM000041075 5059822629 320182100657214005,17.97,debit,Groceries,Blue Cash,,
7/29/2018,Ralphs,RALPHS LONG BEACH CA999999982098884373496 320182100660418382,50.27,debit,Groceries,Blue Cash,,
7/29/2018,Lbikeshare Ca,LONGBEACHCALBIKESHARE 562-570-6555 CA,6.74,debit,Gym,Discover More Card,,
7/28/2018,California Aquatics Boat,CALIFORNIA AQUATICS LONG BEACH841597 BOAT RENTAL 320182090643477194,52,debit,Entertainment,Blue Cash,,
7/28/2018,Amazon,AMAZON SERVICES-KIND866-321-8851GFZMACL98O DIGITAL 320182090645818550,3.14,debit,Books,Blue Cash,,
7/28/2018,Starbucks,STARBUCKS STORE 0525LONG BEACH00ETU3MLOIO FAST FOOD RESTAURANT 320182090636082597,13.15,debit,Coffee Shops,Blue Cash,,
7/28/2018,Rite Aid,RITE AID STORE - 5518 LONG BEACH CA02807R,13.98,debit,Pharmacy,Discover More Card,,
7/28/2018,Lbikeshare Ca,LONGBEACHCALBIKESHARE 562-570-6555 CA,15.44,debit,Gym,Discover More Card,,
7/27/2018,Steam Games,STEAMGAMES.COM4259522,14.99,debit,Entertainment,MasterCard,,
7/27/2018,Payment,PAYMENT,275.61,credit,Credit Card Payment,MasterCard,,
7/27/2018,Hyatt,HYATT REGENCY LONG BLONG BEACH57627805 888-588-4384 320182080619906877,29,debit,Travel,Blue Cash,,
7/27/2018,Hyatt,HYATT REGENCY LONG BLONG BEACH57248408 888-588-4384 320182080619998310,8,debit,Travel,Blue Cash,,
7/27/2018,Sub Washpost Dc,SUB*WASHPOST*010085102 800-477-4679 DC001004PMOB,15,debit,Subscriptions,Discover More Card,,
7/27/2018,Long Beach Cafe,LONG BEACH CAFE LONG BEACH CA,85.29,debit,Restaurants,Discover More Card,,
7/26/2018,Check 10196,Check 10196 Cashed,150,debit,Check,Summit,,
7/26/2018,Vons,THE MARKET (VONS) 22LONG BEACHGROCERY STORE 320182070607105731,20.94,debit,Groceries,Blue Cash,,
7/26/2018,Priceline - Hotel,PRICELINE*HOTEL ROOM800-774-235AR474640377 HOTEL ROOM 320182070600786836,229.43,debit,Travel,Blue Cash,,
7/26/2018,iTunes,WWW.ITUNES.COM/BILL CUPERTINO CAMSL349SH1YA DIRECT MKTG INTERNET 320182070602390032,16.25,debit,Entertainment,Blue Cash,,
7/26/2018,Vons,THE MARKET (VONS) 22LONG BEACHGROCERY STORE 320182070606635951,44.44,debit,Groceries,Blue Cash,,
7/26/2018,Lensic Web,LENSIC WEB SANTA FE NM,51,debit,Entertainment,Discover More Card,,
7/26/2018,Lensic Web,LENSIC WEB SANTA FE NM,51,debit,Entertainment,Discover More Card,,
7/25/2018,Subway,AplPay SUBWAY SANTA FE NM018193068 505-9551682 320182060588018482,10.5,debit,Restaurants,Blue Cash,,
7/25/2018,Aplpay Kaune Neigh,AplPay KAUNE'S NEIGHSANTA FE NM000018594 5059822629 320182060594038040,86.39,debit,Groceries,Blue Cash,,
7/25/2018,Acapulco,ACAPULCO LONG BEACH CA0724192722 562-346-1200 320182060592921984,77.82,debit,Restaurants,Blue Cash,,
7/24/2018,Lyft,AplPay LYFT *RIDE SAN FRANCISCOOPSNT_DHOYH(NONE) 94104 320182050580071906,23.92,debit,Lyft,Blue Cash,,
7/24/2018,Lyft,AplPay LYFT *RIDE SAN FRANCISCOOPSNT_DHPAI(NONE) 94104 320182050580078745,23.98,debit,Lyft,Blue Cash,,
7/24/2018,Ua Long Beach,UA LONG BEACH 6 UA LLONG BEACH054412918 877-835-5734 320182050575112715,8.45,debit,Entertainment,Blue Cash,,
7/24/2018,Gelson's Market,GELSON'S MARKET LONG BEACH CA000084943 9999999999 320182050569246201,30.25,debit,Groceries,Blue Cash,,
7/24/2018,Ua Long Beach,UA LONG BEACH 6 UA LLONG BEACH044678837 877-835-5734 320182050574491196,7.27,debit,Entertainment,Blue Cash,,
7/23/2018,iTunes,WWW.ITUNES.COM/BILL CUPERTINO CAMS602HXQMNA DIRECT MKTG INTERNET 320182040555805298,1.07,debit,Entertainment,Blue Cash,,
7/23/2018,Amazon,AMAZON MKTPLACE PMTSAMZN.COM/BI77N8PJFVIYZ BOOK STORES 320182040562265106,59.99,debit,Shopping,Blue Cash,,
7/23/2018,Trader Joe's,TRADER JOE'S #165 QSANTA FE NM0082361 626-599-3700 320182040560315565,27.58,debit,Groceries,Blue Cash,,
7/23/2018,Skarsgard Farms,SKARSGARD FARMS 0267ALBUQUERQUE60840104 505-681-5286 320182040562597620,28.38,debit,Groceries,Blue Cash,,
7/23/2018,Lyft,AplPay LYFT *RIDE SAN FRANCISCOOPSNT_DHQV1(NONE) 94104 320182040564180101,10.04,debit,Lyft,Blue Cash,,
7/23/2018,Chevron,CHEVRON 0105645 ALBUQUERQUE NM00105645 4561807 O,22.31,debit,Gas & Fuel,Discover More Card,,
7/23/2018,Check 10199,Check 10199 Cashed,100,debit,Check,Summit,,
7/23/2018,Transfer to BankAmericard Platinum Plus Mastercard ,Check 10194 Cashed,83,debit,Credit Card Payment,Summit,,
7/23/2018,Ticketmaster,TICKETMASTER 800-653-8000 CARESC00AD0A-UVPQN,361.84,debit,Entertainment,Discover More Card,,
7/22/2018,Walgreens,AplPay WALGREENS SANTA FE NM99999998203NONE 87505 320182030544819870,39.56,debit,Pharmacy,Blue Cash,,
7/22/2018,Violet Crown Cinema,VIOLET CROWN CINEMA AUSTIN TX99999998203 5124959600 320182030543463398,25,debit,Entertainment,Blue Cash,,
7/22/2018,Amazon,AMAZON.COM AMZN.COM/BILL WA2QRUZMRZ7G6 MERCHANDISE 320182030542896808,5.77,debit,Shopping,Blue Cash,,
7/22/2018,Violet Crown Cinema,VIOLET CROWN CINEMA AUSTIN TX99999998203 5124959600 320182030542421738,10,debit,Entertainment,Blue Cash,,
7/22/2018,Target,TARGET SANTA FE NM01123893 DISCOUNT STORE 320182030540014887,610.41,debit,Shopping,Blue Cash,,
7/22/2018,Trader Joe's,AplPay TRADER JOE'S SANTA FE NM0029818 626-599-3700 320182030547881101,4.99,debit,Groceries,Blue Cash,,
7/22/2018,Griffith Pay Parking,GRIFFITH PAY PARKING LOS ANGELES CA,24,debit,Parking,Discover More Card,,
7/22/2018,Griffith Pay Parking,GRIFFITH PAY PARKING LOS ANGELES CA,32,debit,Parking,Discover More Card,,
7/22/2018,Exxon,EXXONMOBIL LOS ANGELES CA,43.18,debit,Gas & Fuel,Discover More Card,,
7/22/2018,Taps Hollywood,33 TAPS HOLLYWOOD LOS ANGELES CA,86.66,debit,Restaurants,Discover More Card,,
7/22/2018,CenturyLink,CENTURYLINK/SPEEDPAY 800-244-1111 LA02366521,71.55,debit,Internet,Discover More Card,,
7/21/2018,Peet's Coffee,PEET'S COFFEE & TEA LONG BEACH566499 FAST FOOD RESTAURANT 320182020525257175,5.8,debit,Coffee Shops,Blue Cash,,
7/21/2018,Subway,AplPay SUBWAY SANTA FE NM017782946 505-9551682 320182020526689481,8.12,debit,Restaurants,Blue Cash,,
7/21/2018,Amazon,AMAZON SERVICES-KIND866-321-8851FIDTO5ZTCB DIGITAL 320182020522356274,31.53,debit,Shopping,Blue Cash,Reimbursable,
